"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "43" "53" "2" " 18. kerület, Szent Lorinc sétány " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA NA NA
"2" "70" "73" "3" " 9. kerület, Ráday utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" "30 000 Ft/hó" "6 m²" NA NA
"3" "59.5" "68" "2" " 7. kerület, Marek József utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "27.6" "56" "2" " 3. kerület, Bálint György utca 15. " "felújítandó" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA "1 m²" "részt vett" NA
"5" "111.3" "80" "3" " 6. kerület, Rózsa utca 55. " "újszeru" "2020" "összkomfortos" "CC" "3" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, fan-coil" "van" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "17 m²" NA "6.8 M Ft"
"6" "52" "56" "2" " 11. kerület, Muskotály utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "nyugat" "panorámás" "nem" NA "utca, közterület - ingyenes" "20 000 Ft/hó" "5 m²" NA NA
"7" "45" "65" "3" " 11. kerület, Fehérvári út 113. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 500 Ft/hó" NA "nincs megadva" NA
"8" "114.9" "110" "3" " 6. kerület, Andrássy út 134. " "újszeru" NA "duplakomfortos" "nincs megadva" "félemelet" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - bérelheto" NA NA NA "12 000 Ft/hó"
"9" "46.7" "82" "3" " 13. kerület, Lehel utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "1 m²" NA NA
"10" "31.9" "36" "1" " 10. kerület, Gyakorló utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "30 000 Ft/hó" NA "nincs megadva" NA
"11" "59.9" "67" "2" " 9. kerület, Tompa utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" NA "5 m²" NA NA
"12" "37.5" "63" "2" " 20. kerület, Lajtha László utca 3. " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nem" NA "utca, közterület - ingyenes" NA "4 m²" NA NA
"13" "94.7" "68" "2" " 6. kerület, Rózsa utca 55. " "újszeru" "2020" "összkomfortos" "CC" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, fan-coil" "van" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "8 m²" NA "6.5 M Ft"
"14" "48.3" "59" "2" " 11. kerület, Dayka Gábor utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "DD" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "32 000 Ft/hó" "6 m²" NA NA
"15" "45.9" "58" "2" " 13. kerület, Csuka utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "4 m²" NA NA
"16" "32.9" "33" "1" " 9. kerület, Sobieski János utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "29.9" "54" "2" " 18. kerület, Építo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nem" NA "nincs megadva" "13 000 Ft/hó" "5 m²" NA NA
"18" "33" "40" "1" " 6. kerület, Podmaniczky utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "elektromos" NA "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"19" "85" "125" "4" " 4. kerület, Szent István tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "délnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "önálló garázs - megvásárolható" NA "30 m²" NA "6 M Ft"
"20" "45" "56" "2" " 14. kerület, Vezér utca " "nincs megadva" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
