"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "149.9" "103" "3" " 5. kerület, Károly körút " "felújított" "luxus" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA NA NA NA
"2" "39.9" "70" "2" " 7. kerület, Marek József utca 35. " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"3" "21.7" "35" "1" " 21. kerület, Csepel-Csillagtelep – Völgy utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "23 000 Ft/hó" "5 m²" "részt vett" NA NA
"4" "58.9" "90" "3" " 1. kerület, Logodi utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "20 000 Ft/hó" NA NA NA NA
"5" "227.01" "118" "3" " 5. kerület, Petofi Sándor utca " "nincs megadva" "luxus" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "penthouse" "nincs megadva" "2019" NA "16 m²" NA NA NA
"6" "99.99" "86" "3" " 6. kerület, Lovag utca " "nincs megadva" "luxus" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nem" "penthouse" "nincs megadva" "2019" NA "10 m²" NA NA NA
"7" "66.9" "80" "3" " 11. kerület, Szentimreváros " "jó állapotú" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA NA NA
"8" "89" "116" "4" " 13. kerület, Pozsonyi út " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "2 m²" NA NA NA
"9" "34.9" "49" "2" " 11. kerület, Ormezoi lakótelep " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "4 m²" "nincs megadva" NA NA
"10" "30.9" "35" "1" " 11. kerület, Kelenföld " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"11" "139.9" "133" "3" " 6. kerület, Lovag utca " "nincs megadva" "luxus" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nem" "penthouse" "nincs megadva" "2019" NA "66 m²" NA NA NA
