"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "104" "99" "3" " 3. kerület, Héthalom utca " "újszeru" "2019" "luxus" "AA+" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nem" "külön és egyben is" "dél" "panorámás" "32 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"2" "69.9" "95" "4" " 14. kerület, Szederkény utca " "újszeru" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön és egyben is" "nincs megadva" "udvari" "16 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"3" "51.9" "63" "2" " 7. kerület, Marek József utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (konvektor), egyéb" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "85" "90" "2" " 13. kerület, Tátra utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gázkazán" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "26 m²" "nincs megadva" "tetotéri" "utca, közterület" NA NA NA
"5" "56.49" "68" "2" " 14. kerület, Bartl János utca 9. " "újszeru" "2001-2010 között" "összkomfortos" "AA+" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, házközponti" "van" "igen" "külön helyiségben" "dél" "kertre nézo" "5 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "2.5 M Ft" "26 000 Ft/hó" NA
"6" "55.9" "56" "2" " 7. kerület, Király utca " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" "5 000 Ft/hó" "16 000 Ft/hó" NA
"7" "62.9" "56" "2" " 8. kerület, Rákóczi út 11. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "24 358 Ft/hó" NA
"8" "84.9" "125" "3" " 9. kerület, Közraktár utca " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északnyugat" "panorámás" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"9" "69.9" "100" "3" " 11. kerület, Bercsényi utca 15. " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "30 000 Ft/hó" NA
"10" "36.8" "57" "2" " 14. kerület, Répásy Mihály utca 2. " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "7 m²" "nem" NA "utca, közterület - ingyenes" NA NA NA
