"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "parkolohely_ara"
"1" "18.8" "31" "1" " 20. kerület, Erzsébetfalva " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"2" "138" "168" "4" " 12. kerület, Farkasvölgy " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" "48 m²" NA NA
"3" "44" "57" "2" " 6. kerület, Teréz körút " "felújítandó" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"4" "99" "90" "4" " 6. kerület, Podmaniczky utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"5" "117" "130" "4" " 11. kerület, Sasad " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "1981-2000 között" "24 m²" "van" NA
"6" "67.9" "65" "3" " 11. kerület, Tétényi út " "nincs megadva" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "13.17 m²" "nincs" "3 M Ft"
"7" "67.9" "65" "3" " 11. kerület, Tétényi út " "nincs megadva" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "13.17 m²" "nincs" "3 M Ft"
"8" "29" "50" "2" " 14. kerület, Nagyzugló " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "125" "126" "5" " 11. kerület, Tétényi út 19. " "nincs megadva" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "30 m²" "nincs" "3 M Ft"
"10" "62.5" "69" "3" " 22. kerület, Budatétény – Horgásztelep " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" "14 m²" NA NA
