"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "75.9" "76" "3" " 3. kerület, Erdoalja út " "újszeru" "2016" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "12 m²" "nincs megadva" "tetotéri" "udvari beálló - megvásárolható" NA NA NA NA
"2" "51" "51" "2" " 5. kerület, Zoltán utca " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "22.4" "40" "1" " 20. kerület, Pacsirtatelep " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "5 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "24" "51" "2" " 20. kerület, Orsolya utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "4 m²" "nincs megadva" NA "nincs megadva" "van" "25 000 Ft/hó" NA NA
"5" "99" "103" "4" " 3. kerület, Rómaifürdo " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "nincs megadva" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "északnyugat" "kertre nézo" "32 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA NA "2.99 M Ft" NA
"6" "49.9" "72" "2" " 6. kerület, Király utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "99" "110" "4" " 11. kerület, Sasad " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "29" "51" "2" " 3. kerület, Szolo köz " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "önálló garázs" "van" "10 000 Ft/hó" NA "nincs megadva"
"9" "32.8" "56" "2" " 15. kerület, Páskomliget utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA "részt vett"
"10" "27.2" "35" "1" " 9. kerület, Márton utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"11" "26.7" "53" "2" " 18. kerület, Havanna-lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"12" "43.9" "51" "1" " 2. kerület, Ezredes utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA
"13" "28" "55" "2" " 21. kerület, Krizantém utca 8. " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "28 000 Ft/hó" NA "nincs megadva"
"14" "155" "122" "4" " 5. kerület, Belváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"15" "41.9" "65" "3" " 20. kerület, Ady Endre utca " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "7 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "25 000 Ft/hó" NA NA
"16" "39.9" "49" "2" " 14. kerület, Vezseny utca " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "udvari beálló" NA "15 000 Ft/hó" NA NA
"17" "92" "88" "3" " 5. kerület, Lipótváros " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "19 000 Ft/hó" NA NA
"18" "74.9" "100" "5" " 3. kerület, Mocsárosdulo " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "12 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"19" "47.6" "110" "4" " 8. kerület, Baross utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "egyéb" "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "14 000 Ft/hó" NA NA
"20" "42.5" "89" "3" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
