"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "25" "53" "2" " 15. kerület, Újpalota " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA
"2" "38.9" "62" "3" " 13. kerület, Angyalföld – Gyöngyösi utcai lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA NA
"3" "39.9" "50" "2" " 6. kerület, Szív utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"4" "37.5" "50" "1" " 11. kerület, Ildikó utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "15 000 Ft/hó" NA NA
"5" "93" "100" "3" " 6. kerület, Városligeti fasor " "felújított" NA "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló" "58 000 Ft/hó" NA NA
"6" "34.75" "66" "2" " 3. kerület, Csillaghegy " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "30 000 Ft/hó" NA NA
"7" "76.5" "74" "2" " 1. kerület, Fo utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "kelet" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "6 m²" NA
"8" "23.99" "34" "1" " 9. kerület, Ülloi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "nem vett részt" "utca, közterület - fizetos övezet" NA NA NA
"9" "224.88" "118" "3" " 5. kerület, Belváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "16 m²" NA
"10" "23.9" "56" "2" " 20. kerület, Gubacsipuszta " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
