"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "52" "80" "3" " 18. kerület, Bókaytelep " "befejezetlen" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "110 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "47" "71" "2" " 8. kerület, Józsefváros – Losoncinegyed " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA
"3" "43.18" "33" "1" " 6. kerület, Külso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"4" "48.5" "69" "2" " 6. kerület, Lovag utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA
"5" "19.9" "44" "1" " 16. kerület, Kossuth Lajos utca 24. " "felújítandó" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "21.9" "36" "1" " 10. kerület, Ligettelek " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"7" "107" "140" "4" " 11. kerület, Péterhegy " "újszeru" "duplakomfortos" "AA" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "15 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2015" "van" NA NA
"8" "145" "148" "3" " 6. kerület, Révay köz " "felújított" "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "68.9" "101" "2" " 3. kerület, Fo tér " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"10" "155" "84" "3" " 1. kerület, Döbrentei utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "34.2" "48" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett" NA
"12" "34.7" "70" "2" " 15. kerület, Korakás park " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" "részt vett" NA
"13" "209.9" "300" "7" " 3. kerület, Szépvölgyi út " "újszeru" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "32 m²" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "1981-2000 között" "van" NA NA
"14" "54.9" "61" "1" " 7. kerület, Erzsébet körút " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "64.9" "63" "2" " 1. kerület, Tabán " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
