"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "erkely" "rezsikoltseg"
"1" "22.65" "47" "2" " 15. kerület, Páskomliget utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "49.9" "95" "4" " 8. kerület, Kerepesi út 1-5 " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "udvari beálló - bérelheto" "van" "5 000 Ft/hó" NA NA
"3" "32.9" "38" "1" " 6. kerület, Rózsa utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA NA
"4" "41.6" "65" "2" " 13. kerület, Gyöngyösi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "FF" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "északkelet" "utcai" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" NA NA "6 m²" NA
"5" "46.9" "68" "3" " 13. kerület, Hun utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "hoszivattyú, házközponti" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "részt vett" "utca, közterület - fizetos övezet" "nincs" NA "3 m²" "26 000 Ft/hó"
"6" "131" "110" "4" " 6. kerület, Belso-Terézváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"7" "28.9" "55" "2" " 19. kerület, Kispesti lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA "4 m²" "40 000 Ft/hó"
"8" "73.9" "68" "3" " 7. kerület, Király utca " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "van" NA NA NA
"9" "59.9" "61" "2" " 12. kerület, Magyar jakobinusok tere " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "tetotéri" NA "utca, közterület" "van" NA NA NA
"10" "75.5" "72" "2" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA "1.5 m²" "50 000 Ft/hó"
