"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "52" "59" "2" " 7. kerület, Külso-Erzsébetváros " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "37.9" "68" "2" " 19. kerület, Ady Endre út " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA NA NA
"3" "27.5" "48" "2" " 3. kerület, Szolo utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "15.5" "28" "1" " 4. kerület, Temesvári utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA "15 000 Ft/hó" NA NA NA
"5" "39.8" "40" "1" " 13. kerület, Vígszínház utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs" NA NA
"6" "26.9" "53" "2" " 19. kerület, Fo utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA "4 m²" NA
"7" "27.99" "23" "1" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "29.99" "33" "2" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"9" "29.99" "41" "1" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"10" "119" "130" "4" " 11. kerület, Móricz Zsigmond körtér 14. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" "3 m²" NA
"11" "36.9" "62" "2" " 14. kerület, Rákosfalva " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA NA NA NA
"12" "30.9" "52" "2" " 14. kerület, Bolgárkertész utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "36" "69" "3" " 3. kerület, Szentendrei út 26. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "26.5" "51" "2" " 3. kerület, Füst Milán utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA NA NA NA
"15" "21.89" "37" "1" " 8. kerület, Tisztviselotelep " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "udvari beálló - bérelheto" NA NA NA "3 m²" "3 000 Ft/hó"
"16" "47.5" "47" "2" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"17" "28.5" "59" "2" " 19. kerület, Kispesti lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "részt vett" NA NA NA NA
"18" "26.5" "33" "1" " 14. kerület, Alsórákos " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "egyéb" "nem" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA "6 m²" NA
"19" "22.5" "58" "2" " 21. kerület, Dunadulo út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "89" "72" "3" " 11. kerület, Hosszúréti utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA "van" "39 m²" "9 M Ft"
