"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "panelprogram"
"1" "22.9" "34" "1" " 14. kerület, Gyarmat utca 47a " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"2" "55" "44" "1" " 6. kerület, Káldy Gyula utca " "újszeru" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" "21 000 Ft/hó" "3 m²" NA
"3" "78" "79" "2" " 6. kerület, Mozsár utca " "felújított" "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "31.5" "61" "2" " 15. kerület, Nyírpalota út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "3 m²" "nincs megadva"
"5" "27.9" "64" "2" " 15. kerület, Nádastó park " "jó állapotú" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA "3 m²" "nincs megadva"
"6" "29.9" "37" "1" " 8. kerület, Fecske utca 7. " "új építésu" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" NA "igen" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" NA "12 m²" NA
"7" "43.4" "47" "2" " 7. kerület, Garay utca " "újszeru" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA
"8" "48.9" "57" "2" " 11. kerület, Bölcso utca " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA "3.5 m²" NA
"9" "22.9" "24" "1" " 7. kerület, Vörösmarty utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "északkelet" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"10" "31" "33" "1" " 7. kerület, Erzsébet körút " "felújított" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "88.9" "97" "3" " 9. kerület, Vaskapu utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "igen" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "17 m²" NA
"12" "26.4" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "25 000 Ft/hó" "3 m²" "nincs megadva"
"13" "55" "53" "2" " 11. kerület, Radvány utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "5 m²" NA
"14" "49.99" "58" "2" " 11. kerület, Baranyai utca " "felújított" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4 m²" NA
"15" "44.9" "60" "3" " 13. kerület, Frangepán köz " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" NA "2 m²" NA
"16" "26.4" "51" "1" " 3. kerület, Madzsar József utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "7 m²" "részt vett"
"17" "43.5" "53" "2" " 9. kerület, Haller utca " "újszeru" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA NA
"18" "37.9" "48" "1" " 13. kerület, Újlipótváros " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA "3 m²" NA
"19" "89" "105" "4" " 7. kerület, Kertész utca 29. " "jó állapotú" "összkomfortos" "AA" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "60 000 Ft/hó" "3 m²" NA
"20" "67.9" "106" "3" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "komfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "20 000 Ft/hó" "6 m²" NA
