"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "45.2" "58" "2" " 19. kerület, Kispest " "nincs megadva" "2019" "összkomfortos" "AA++" "5" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5.5 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"2" "24.9" "35" "1" " 13. kerület, Fiastyúk utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "20 000 Ft/hó" NA
"3" "12.9" "25" "1" " 20. kerület, Zrínyi utca " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "99.9" "86" "2" " 1. kerület, Krisztinaváros " "felújított" "1950-1980 között" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "nem" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "26 000 Ft/hó" NA
"5" "240" "200" "4" " 12. kerület, Kútvölgy " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "fan-coil" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "40 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA
"6" "79.9" "90" "3" " 2. kerület, Országút " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "38" "80" "2" " 7. kerület, Szinva utca 4. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "15 000 Ft/hó" NA
"8" "20.99" "46" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"9" "79.9" "132" "4" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "20 000 Ft/hó" NA
"10" "38.7" "47" "2" " 19. kerület, Kispest " "nincs megadva" "2019" "összkomfortos" "AA++" "2" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3.6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"11" "33.3" "39" "1" " 6. kerület, Izabella utca 80. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "20 000 Ft/hó" NA
"12" "30.9" "44" "1" " 11. kerület, Bártfai utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"13" "46.8" "69" "2" " 13. kerület, Hegedus Gyula utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "74" "73" "3" " 2. kerület, Országút " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "64.9" "62" "2" " 6. kerület, Ó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "7 M Ft" "30 000 Ft/hó" NA
"16" "54.9" "60" "2" " 7. kerület, Kertész utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "20 000 Ft/hó" NA
"17" "31.9" "40" "2" " 11. kerület, Kelenvölgy " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "29" "36" "1" " 10. kerület, Gozmozdony utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett"
"19" "69.9" "63" "2" " 2. kerület, Margit körút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "69.9" "77" "4" " 11. kerület, Törökvero út " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
