"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "83.2" "92" "4" " 13. kerület, Angyalföldi út " "újszeru" "2019" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" "igen" "külön és egyben is" "kelet" "kertre nézo" "8 m²" "nem" "nem tetotéri" "teremgarázs hely" NA NA NA
"2" "54.9" "81" "2" " 4. kerület, József Attila utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "27.8" "36" "1" " 13. kerület, Fiastyúk utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "96" "108" "3" " 2. kerület, Felhévíz " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "65.4" "54" "3" " 6. kerület, Szív utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "20 000 €" NA NA
"6" "104" "96" "4" " 13. kerület, Angyalföldi út " "újszeru" "2019" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" "van" "igen" "külön és egyben is" "nyugat" "utcai" "60 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA NA
"7" "33.8" "34" "1" " 13. kerület, Angyalföld " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "kelet" "utcai" "7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"8" "40.55" "67" "1" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "házközponti" NA "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"9" "25.91" "54" "2" " 21. kerület, Technikus utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "nincs megadva" "délkelet" "kertre nézo" "4 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"10" "40.55" "67" "1" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "házközponti" NA "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"11" "25.99" "39" "1" " 9. kerület, József Attila-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"12" "34.5" "65" "2" " 18. kerület, Sina Simon sétány 3. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "5" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "részt vett" NA
"13" "109" "104" "2" " 5. kerület, Károly körút " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "35 000 Ft/hó"
"14" "28.9" "49" "1" " 9. kerület, József Attila-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" NA "utca, közterület" NA NA NA
"15" "100" "97" "4" " 5. kerület, Lipótváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"16" "83" "110" "3.5" " 8. kerület, Tisztviselotelep " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA NA
"17" "30.9" "40" "1" " 13. kerület, Fiastyúk utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "41" "74" "2" " 13. kerület, Keszkeno utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"19" "63.2" "68" "3" " 13. kerület, Petneházy utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "megújuló energia" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "24 m²" "nem" "nincs megadva" "teremgarázs hely" NA NA NA
"20" "99.9" "110" "3" " 2. kerület, Pasarét " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
