"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "43.9" "62" "3" " 11. kerület, Allende park " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA
"2" "37.8" "53" "2" " 13. kerület, Béke utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "északnyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "13 000 Ft/hó" "5 m²" NA
"3" "225" "163" "4" " 13. kerület, Révész utca " "felújított" "2001-2010 között" "luxus" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "dél" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" NA "nincs megadva" "90 000 Ft/hó" "60 m²" NA
"4" "46" "52" "1" " 2. kerület, Pitypang utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" NA "5 m²" NA
"5" "42.9" "118" "4" " 20. kerület, Erzsébetfalva " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "15 m²" NA
"6" "25.5" "58" "3" " 17. kerület, Újlak utca " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "nincs megadva" NA "5 m²" NA
"7" "18.9" "38" "1" " 4. kerület, Berni utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "6 000 Ft/hó" NA NA
"8" "46.9" "118" "4" " 20. kerület, Erzsébetfalva " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"9" "47.5" "71" "3" " 14. kerület, Ilka utca " "jó állapotú" "1981-2000 között" "összkomfortos" "FF" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "teremgarázs hely - bérelheto" NA NA "15 000 Ft/hó"
"10" "36" "65" "2" " 11. kerület, Kondorosi út " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "30 000 Ft/hó" "4 m²" NA
