"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "62.9" "78" "3" " 2. kerület, Tárogató út " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "önálló garázs - kötelezo megvenni" "6 M Ft" NA NA NA NA
"2" "24.49" "37" "1" " 8. kerület, Delej utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "2 m²" "nem" "nem tetotéri" "udvari beálló" NA "1950 elott" "nincs" NA NA
"3" "59.5" "71" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA
"4" "64" "102" "3" " 7. kerület, Izabella utca " "felújítandó" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "120" "138" "3" " 5. kerület, Szép utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "1950 elott" NA NA NA
"6" "53.5" "120" "4" " 8. kerület, Józsefváros – Népszínháznegyed " "felújítandó" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "53.9" "59" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA NA
"8" "47.9" "90" "2" " 11. kerület, Budaörsi út " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1950 elott" "nincs" "26 000 Ft/hó" NA
"9" "35.9" "66" "3" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950-1980 között" NA "13 000 Ft/hó" "nincs megadva"
"10" "29.9" "53" "2" " 16. kerület, Sashalom – Egyenes utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950-1980 között" NA NA NA
