"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "panelprogram"
"1" "45.8" "66" "2" " 9. kerület, Ferenc körút " "jó állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "26.9" "52" "1" " 14. kerület, Alsórákos " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "nincs megadva" "1981-2000 között" "17 m²" NA NA
"3" "32.9" "45" "1" " 14. kerület, Alsórákos " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "nincs megadva" "1981-2000 között" "15.5 m²" NA NA
"4" "25" "29" "1" " 12. kerület, Böszörményi út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "16 000 Ft/hó" NA
"5" "56" "51" "2" " 8. kerület, Bókay János utca " "újszeru" "duplakomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "nincs megadva" NA "igen" "külön helyiségben" "kelet" "utcai" "nem" NA "nincs megadva" "2019" "10 m²" NA NA
"6" "37.9" "59" "2" " 11. kerület, Bartók Béla út " "jó állapotú" "nincs megadva" "nincs megadva" "9" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "3 m²" NA "nincs megadva"
"7" "286.04" "150" "4" " 1. kerület, Bem rakpart " "felújított" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "12 m²" NA NA
"8" "51.9" "59" "2" " 6. kerület, Nagymezo utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" NA
"9" "89" "84" "2" " 7. kerület, Király utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "23 000 Ft/hó" NA
"10" "29.9" "57" "2" " 3. kerület, Gyuru utca " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "2 m²" NA "részt vett"
"11" "32.9" "42" "1" " 14. kerület, Alsórákos " "újszeru" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2016" "17 m²" NA NA
"12" "23.9" "51" "2" " 21. kerület, Rakéta utca 18/D. " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nem" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"13" "83" "110" "3" " 2. kerület, Újlak " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA
"14" "83" "110" "3" " 2. kerület, Országút " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA
"15" "24.5" "44" "1" " 8. kerület, Dobozi utca " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "33.9" "40" "1" " 11. kerület, Kanizsai utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "18 m²" "11 999 Ft/hó" NA
"17" "32" "57" "2" " 3. kerület, Jós utca 4. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "15 Ft/hó" "nincs megadva"
"18" "103" "123" "4" " 3. kerület, Óbuda-Óváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "2 m²" "50 000 Ft/hó" NA
"19" "38.9" "65" "3" " 11. kerület, Kelenföld " "közepes állapotú" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "nincs megadva"
