"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "53.9" "85" "2" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko), cserépkályha" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "26.8" "36" "1" " 15. kerület, Késmárk utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"3" "37.9" "40" "2" " 7. kerület, Damjanich utca " "felújított" "2020" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "49.9" "52" "1" " 6. kerület, Révay köz " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "38 000 Ft/hó" "1 m²" NA
"5" "32" "59" "2" " 3. kerület, Aquincum " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "53.9" "57" "2" " 5. kerület, Papnövelde utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"7" "26.9" "23" "1" " 7. kerület, Damjanich utca " "felújított" "2020" "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"8" "64" "84" "2" " 13. kerület, Hegedus Gyula utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "nincs" NA NA NA
"9" "25.9" "49" "1" " 4. kerület, József Attila utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA
"10" "35.9" "61" "2" " 9. kerület, Kosárka sétány " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"11" "18" "46" "1" " 10. kerület, Gép utca " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "7 000 Ft/hó" NA NA
"12" "41.99" "50" "2" " 6. kerület, Jókai utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA NA
"13" "50" "62" "3" " 7. kerület, Akácfa utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" "nincs" "20 Ft/hó" NA NA
"14" "25.9" "32" "1" " 8. kerület, Baross utca 122. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "6 Ft/hó" NA NA
"15" "35.5" "52" "3" " 23. kerület, Soroksár " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"16" "46.5" "53" "2" " 6. kerület, Szófia utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "94.9" "102" "4" " 11. kerület, Péterhegyi köz " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "tetotéri" "udvari beálló - benne van az árban" "van" NA "9 m²" NA
"18" "69.9" "61" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "52.5" "59" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
