"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "23.9" "40" "1" " 10. kerület, Halom utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "28" "34" "1" " 3. kerület, Óbuda – Kísérleti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "118.24" "91" "4" " 6. kerület, Szív utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "északkelet" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "118.24" "91" "4" " 6. kerület, Szív utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "északkelet" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"5" "63.9" "77" "2" " 13. kerület, Pannónia utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "28.5" "37" "1" " 3. kerület, Oszike utca 4. " "felújított" NA "komfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "igen" "nincs megadva" "utca, közterület" "van" "nincs megadva" NA
"7" "54.9" "45" "1" " 5. kerület, Nádor utca 24. " "felújított" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "13 140 Ft/hó"
"8" "35" "42" "2" " 7. kerület, Munkás utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "26.5" "50" "2" " 8. kerület, Szigony utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"10" "49.9" "80" "3" " 7. kerület, Dembinszky utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"11" "34.9" "66" "3" " 15. kerület, Pestújhely " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "3 m²" "nem" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"12" "87.4" "101" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "panorámás" "2.35 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"13" "25.99" "30" "1" " 11. kerület, Eromu utca 6. " "felújítandó" "1950 elott" "komfortos" "HH" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "20 000 Ft/hó"
"14" "60" "64" "3" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "30 000 Ft/hó"
"15" "62.07" "65" "3" " 6. kerület, Rózsa utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "28.35" "32" "1" " 11. kerület, Hamzsabégi út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"17" "34.9" "53" "2" " 16. kerület, Sashalom " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "65.5" "100" "4" " 14. kerület, Hungária körút 134. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "5 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA NA
"19" "119" "170" "5" " 7. kerület, Kazinczy utca " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "75 000 Ft/hó"
"20" "13.99" "24" "1" " 4. kerület, Irányi Dániel utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
