"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "67.9" "105" "4" " 14. kerület, Angol utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "28.5" "33" "1" " 12. kerület, Krisztinaváros – Városmajor " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "35.9" "69" "3" " 3. kerület, Kerék utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "40 000 Ft/hó" "nem vett részt" NA
"4" "33.9" "35" "1" " 11. kerület, Kelenföldi út " "nincs megadva" "2019" "összkomfortos" "AA+" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "29.5" "41" "1" " 7. kerület, Bethlen Gábor utca 19. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "12 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"6" "46.8" "68" "3" " 4. kerület, Újpest " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön és egyben is" "északnyugat" "udvari" "19 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" NA NA "2 M Ft"
"7" "149" "152" "4" " 6. kerület, Szondi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "35.9" "47" "2" " 8. kerület, Ciprus utca 8. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "kelet" "nincs megadva" "16 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "30 000 Ft/hó" NA "3.5 M Ft"
"9" "26.9" "48" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" NA "nincs megadva" NA NA NA
"10" "26.9" "53" "2" " 19. kerület, Kispesti lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"11" "76.85" "67" "2" " 8. kerület, Mikszáth Kálmán tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön helyiségben" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "11 000 Ft/hó" NA NA
"12" "28.5" "69" "3" " 17. kerület, Pesti út 161. " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "20 000 Ft/hó" "nincs megadva" NA
"13" "99.99" "111" "4" " 9. kerület, Lónyay utca 20. " "felújított" NA "luxus" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "30 000 Ft/hó" NA NA
"14" "77.9" "132" "4" " 8. kerület, Baross utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "30.5" "30" "1" " 9. kerület, Haller utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"16" "41.5" "68" "3" " 14. kerület, Kerepesi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "dél" "panorámás" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "részt vett" NA
"17" "20.49" "35" "1" " 21. kerület, Kossuth Lajos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "egy helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" NA
"18" "31.4" "42" "1" " 14. kerület, Ilka utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (cirko)" "van" "igen" "egy helyiségben" "délnyugat" "utcai" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "7 000 Ft/hó" NA NA
"19" "23.5" "38" "1" " 14. kerület, Gizella út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"20" "18.7" "33" "2" " 13. kerület, Csángó utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA
