"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "99.9" "135" "5" " 7. kerület, Rákóczi út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "70 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "31.5" "55" "2" " 9. kerület, József Attila-lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "4.5 m²" NA NA NA
"3" "29.9" "35" "1" " 7. kerület, Dózsa György út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "2" "van" "3 m vagy magasabb" "nincs megadva" "nincs" NA "igen" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "27.4" "50" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "4 m²" "részt vett" NA NA
"5" "34.9" "59" "2" " 14. kerület, Rákospatak park " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" NA "utca, közterület" "7 m²" NA NA NA
"6" "53.9" "75" "3" " 11. kerület, Ormezoi lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" NA "utca, közterület - ingyenes" "5 m²" NA NA NA
"7" "21.9" "33" "1" " 13. kerület, Szent László út " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nem" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA
"8" "62.9" "77" "3" " 8. kerület, Lorinc pap tér " "felújított" NA "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "47" "49" "2" " 13. kerület, Pannónia utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "5.52 m²" NA "4 M Ft" NA
"10" "35.9" "42" "1" " 6. kerület, Felso erdosor 5. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"11" "24.9" "53" "2" " 18. kerület, Szent Lorinc-lakótelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "4" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "igen" "egy helyiségben" "kelet" "utcai" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"12" "54.25" "67" "3" " 10. kerület, KOÉR KÖZ II. ÜTEM " "új építésu" "2021" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" NA NA "igen" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "16.1 m²" NA "3.6 M Ft" "KOÉR KÖZ II. ÜTEM"
"13" "83" "121" "4" " 2. kerület, Pasarét " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" NA "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "18.4 m²" NA NA NA
"14" "48.9" "86" "3" " 8. kerület, Józsefváros – Corvinnegyed " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "27.7" "32" "1" " 11. kerület, Ulászló utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" "utca, közterület - fizetos övezet" "4 m²" NA NA NA
