"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"1" "36.5" "45" "1" " 14. kerület, Erzsébet királyné útja 45. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "30 000 Ft/hó" "nem" "egy helyiségben" "délkelet" "panorámás" "2 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"2" "17.9" "25" "1" " 8. kerület, Koris utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA
"3" "70" "85" "2" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
"4" "17.9" "39" "1" " 20. kerület, Nagysándor József utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "igen" "nincs megadva" "utca, közterület" NA
"5" "25.9" "58" "2" " 10. kerület, Gyárdulo " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA
"6" "22.49" "35" "1" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva"
"7" "69.8" "130" "4" " 22. kerület, Budafok – Kísérleti lakótelep " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
"8" "46.9" "91" "2" " 22. kerület, Budafok – Rózsavölgy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "22 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA
"9" "27.35" "42" "1" " 14. kerület, Alsórákos " "felújított" "2019" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA NA "igen" "nincs megadva" "délnyugat" "kertre nézo" "5 m²" "nem" "nem tetotéri" "utca, közterület" NA
"10" "63" "89" "3" " 14. kerület, Telepes utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "50 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
