"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "29.9" "50" "2" " 11. kerület, Kelenföld " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "21" "44" "1" " 10. kerület, Salgótarjáni utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "149" "115" "4" " 5. kerület, Hold utca " "felújított" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "nincs megadva" "nem" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2018" "van" "20 000 Ft/hó" NA NA
"4" "75.8" "88" "4" " 5. kerület, Belváros " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "23 000 Ft/hó" NA NA
"5" "73" "73" "2" " 12. kerület, Tamási Áron utca 43. " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" NA "utca, közterület - ingyenes" NA NA NA "11 m²" NA
"6" "23.5" "45" "1" " 18. kerület, Vándor Sándor utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "30 000 Ft/hó" NA "nincs megadva"
"7" "33.7" "46" "2" " 14. kerület, Rákosfalva " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA "nincs megadva"
"8" "43.9" "44" "2" " 13. kerület, Szent László út " "felújított" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "tetotéri" "nincs megadva" "2001-2010 között" NA NA NA NA
"9" "75" "84" "3" " 11. kerület, Kanizsai utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "tetotéri" "utca, közterület" "1950 elott" "van" "22 000 Ft/hó" "8.5 m²" NA
"10" "39.9" "61" "2" " 14. kerület, Zászlós utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA "8 m²" NA
"11" "36.99" "37" "2" " 7. kerület, Vörösmarty utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA
"12" "74" "115" "3" " 8. kerület, Népszínház utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "14.9" "13" "1" " 7. kerület, Hernád utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5 000 Ft/hó" NA NA
"14" "19.45" "36" "1" " 10. kerület, Téglagyárdulo " "felújítandó" "komfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "6 000 Ft/hó" NA NA
"15" "27.5" "54" "2" " 17. kerület, Pesti út " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "6 m²" "nincs megadva"
"16" "49.9" "56" "2" " 6. kerület, Hunyadi tér 2. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "54" "44" "1" " 6. kerület, Teréz körút " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "van" "11 000 Ft/hó" NA NA
"18" "54" "47" "1" " 6. kerület, Teréz körút " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "van" "12 000 Ft/hó" NA NA
"19" "26.9" "53" "2" " 19. kerület, Fo utca " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA NA "4 m²" "nincs megadva"
"20" "57.3" "52" "2" " 2. kerület, Kuruclesi út " "újszeru" "luxus" "AA++" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs" NA "8 m²" NA
